id,type,latitude,longitude
c5e0acc0-5a62-4355-b2fc-56f26f057c22,passenger,37.761447,-122.392307
2fbc3837-e3f9-4a99-b1ed-3df5bf5c0095,driver,37.721242,-122.453082
4ed8ba19-f14f-4848-8e8e-36ce4fed16fc,passenger,37.729915,-122.476967
97bfc378-e8dd-407e-8cdd-674ebadbc8ca,driver,37.728657,-122.42161
ca3a2c9b-0d36-4a46-b753-65fa99d62a2e,passenger,37.765076,-122.483202
42aa2e2a-f707-49a5-b84d-c2592dd2f79b,driver,37.775996,-122.375327
1742dc20-0613-4fe8-a81f-844d3e52b9cc,passenger,37.714502,-122.444785
20300ea6-2765-4d8b-bda9-9b764aa5cd7a,driver,37.80297,-122.446676
f368ef00-b45f-4cd4-a052-9222982debfc,driver,37.712057,-122.495493
bbc05742-cb36-4477-a328-a55cd0822bd5,driver,37.76971,-122.364033
9a40190b-e620-4511-97f5-9d96475827f8,passenger,37.814141,-122.367958
d011bfab-c829-4c6f-a06a-9a8fd211fda4,passenger,37.821617,-122.424344
c751f9b3-3faa-4f0e-b389-17f05b7a4ff8,passenger,37.811753,-122.499371
b3d4163d-5ac7-4564-88fc-5014172dd808,passenger,37.754845,-122.468218
391cf9e4-57d5-4e3b-96eb-d4fb871c2ed0,driver,37.751922,-122.477102
ee5ede40-1880-46b5-8149-7b88453a5d05,driver,37.734707,-122.369502
551bd58a-fc81-4bcc-9a14-959b2a7a85e6,driver,37.728423,-122.434197
1ce1c71d-edce-41d5-9a40-76cd459dfce2,driver,37.734434,-122.473006
b2d3eca7-67a2-4255-84c5-4e84e6adf300,driver,37.795741,-122.408495
1fa10b2d-bf30-4caf-a073-0eff0542a94b,passenger,37.708998,-122.39591
f5ad6c1d-a6ba-4a87-b8c4-8f86fa64ae40,passenger,37.715731,-122.476295
8a1347bd-7ccd-486b-aac7-ccf204526e12,passenger,37.818642,-122.379422
87e726e7-7940-46b9-838e-8153891f6898,passenger,37.730941,-122.409653
b8f83020-2413-4646-9066-ad210002c7d1,passenger,37.739977,-122.501311
cec5ee1c-7933-40ae-b2f1-e2ceb7923aa7,driver,37.748124,-122.478574
cd4a9a34-fe39-4632-808c-19819522bce8,driver,37.804927,-122.40054
4a348b28-e5b2-47c6-8740-5548efa07bb0,passenger,37.813861,-122.470492
17f3b40b-cc31-4bcc-bdd8-3680916faead,driver,37.82968,-122.433571
a9651988-542c-481b-9696-1286f942a653,passenger,37.709229,-122.415335
21a281e1-ad5f-4eb9-ae22-e78651ca6c08,driver,37.818891,-122.441172
c5d951c3-d402-4c32-a70b-997adf9b59a4,driver,37.75485,-122.50553
c7760fcc-cc52-4d7b-9852-b8ef54236453,driver,37.71313,-122.468304
8c46c9f3-3f4e-4abd-a5cc-8dc9ada4e095,driver,37.804757,-122.405279
bcb3ab3a-3e8b-4f4b-b4a6-7d59a974a0d7,passenger,37.761787,-122.427529
8d8eda47-c2a0-4e6d-a7f4-97cadf38d5fd,driver,37.791594,-122.503126
2421cff4-85cd-491d-83b1-ae5242ca6560,passenger,37.814234,-122.38525
e8f1e515-91b3-4744-a97e-85eddc1546ba,passenger,37.812017,-122.472702
1d4ef69a-c450-4c60-9a22-9900447129d6,driver,37.70345,-122.480174
1b67cc11-a853-4d77-bf58-745496d5a610,passenger,37.755008,-122.47823
f230840f-ea47-43dc-8bf7-e8d340867b48,driver,37.772978,-122.470589
e1435de2-3b39-4cf7-b81e-b0934d0725e8,passenger,37.829369,-122.412518
a14e61ef-4113-486a-bf98-5abd63e7e9f1,passenger,37.799558,-122.490741
2173007d-6822-487d-a1fe-84e093116383,passenger,37.72615,-122.463243
e8a3c805-d90f-4583-bc08-d9c10e9a95dd,passenger,37.79478,-122.408995
4c5bcdc3-e60e-4232-a182-2c519942e682,passenger,37.752341,-122.459105
e0000672-89dd-413d-841c-419f6dc13a12,driver,37.785207,-122.450655
deea24cb-a07f-459b-b003-524498135d1c,driver,37.782639,-122.455275
78417975-2da2-4cac-b791-3b92c8c730e2,driver,37.812022,-122.423397
6a2f6ffc-f2b0-422f-b565-02c51596d39a,passenger,37.724727,-122.442708
88a6e0ff-069c-4e97-9c1e-d11b22f6ac7a,passenger,37.734457,-122.379135
c8243807-c1b5-4eef-98ee-e3777cd848a7,passenger,37.758984,-122.366928
9dfff49a-9fac-4f81-a9f1-7ded4ef322ca,driver,37.813928,-122.462798
27cb030a-66f7-4e84-bed9-6cccbacc7c80,passenger,37.738798,-122.414158
fd951742-c681-4370-8e63-6f8870676882,driver,37.729776,-122.505185
1ae2ac36-0b2c-41bb-8c16-38f5ffc42676,driver,37.82624,-122.380883
2e963c92-b547-40b7-bf46-df2fcd3eb836,driver,37.783125,-122.506248
20d39704-a5f9-4e65-9374-f49a3e373d51,driver,37.829496,-122.430633
0adf1bda-184b-4799-b207-ee61f838df3f,passenger,37.771542,-122.502412
fd08a0b2-020f-4d50-a7fb-1d1be4bfa292,driver,37.784485,-122.428259
cac95d3a-086f-4bbe-9cd9-91a01c6ce40c,passenger,37.788622,-122.429454
cddbd57c-98af-44d3-b08c-aca904481ad7,driver,37.784245,-122.41863
9bf3e853-54e9-436d-a1bb-b96c5b0d81df,passenger,37.801221,-122.430447
ee84c6dd-fc64-4aea-ad5e-42422e580dcf,passenger,37.700074,-122.461377
0bc4072d-6881-4704-8c99-6c5a7ce0472e,passenger,37.734687,-122.413856
a81dc4a6-48f2-4f93-a063-73038a88209d,driver,37.729627,-122.466592
56559280-8894-4e05-b9cf-d3b33a9449cf,driver,37.828638,-122.414
b181fe18-4fc9-4b32-a83b-745a4d3844e2,passenger,37.732475,-122.37151
90014aa2-a23a-47c2-a57b-123ac9eefeea,driver,37.744233,-122.486678
